,Gender_Male,Gender_Other,Marital Status_Married,Marital Status_Single,Job Role_Developer,Job Role_Manager,Job Role_Sales,Department_IT,Department_Marketing,Department_Sales,Work Location_On-site,Work Location_Remote,Age,Education Level,Tenure,Salary,Performance Rating,Projects Completed,Training Hours,Promotions,Overtime Hours,Satisfaction Level,Work-Life Balance,Average Monthly Hours Worked,Absenteeism,Distance from Home,Manager Feedback Score,Work_Stress,Dissatisfaction,Stagnation_Flag,Projects_Per_Year,Salary_Performance_Ratio,Commute_Burden,Overwork_Flag
517,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,1.0,12.0,49706.0,1.0,38.0,9.0,0.0,4.0,0.9,1.0,179.0,4.0,31.0,7.1,0.06666666666666667,0.39,1,2.923076923076923,4.9706,12.4,0
3021,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,56.0,1.0,6.0,136214.0,1.0,0.0,64.0,0.0,2.0,0.04,0.0,179.0,12.0,7.0,3.7,0.044444444444444446,1.5899999999999999,1,0.0,13.6214,8.4,0
4293,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,38.0,1.0,1.0,133049.0,1.0,45.0,0.0,0.0,36.0,0.94,3.0,290.0,5.0,31.0,3.7,0.12371134020618557,0.6900000000000001,0,22.5,13.3049,15.5,1
1325,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,3.0,14.0,34391.0,4.0,13.0,8.0,0.0,36.0,0.06,0.0,196.0,10.0,35.0,6.5,0.7309644670050761,1.29,1,0.8666666666666667,0.859775,35.0,0
6200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,2.0,8.0,146379.0,5.0,17.0,94.0,0.0,39.0,0.65,1.0,242.0,0.0,44.0,9.1,0.48148148148148145,0.44,1,1.8888888888888888,2.92758,0.0,0
956,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,2.0,11.0,125140.0,2.0,21.0,58.0,0.0,33.0,0.57,0.0,201.0,3.0,18.0,8.1,0.6534653465346535,0.6200000000000001,1,1.75,6.257,5.3999999999999995,0
2535,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,48.0,1.0,5.0,148174.0,1.0,18.0,84.0,0.0,41.0,0.22,0.0,212.0,11.0,46.0,5.1,0.7699530516431925,1.27,0,3.0,14.8174,50.6,0
7134,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,1.0,4.0,51925.0,4.0,5.0,45.0,1.0,43.0,0.39,1.0,240.0,3.0,34.0,2.5,0.5352697095435685,1.3599999999999999,0,1.0,1.298125,10.2,0
274,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,1.0,10.0,55778.0,1.0,47.0,99.0,0.0,20.0,0.09,1.0,256.0,2.0,1.0,8.7,0.23346303501945526,1.04,1,4.2727272727272725,5.5778,0.2,0
3238,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,1.0,6.0,47004.0,3.0,32.0,13.0,0.0,45.0,0.2,1.0,296.0,8.0,39.0,4.1,0.4545454545454546,1.3900000000000001,1,4.571428571428571,1.5668,31.200000000000003,1
